(-34.202, -93.9693)
(-9.7583, -99.5227)
(15.2986, -98.8228)
(39.3942, -91.9135)
(61.0145, -79.229)
(78.8011, -61.5661)
(91.6363, -40.0349)
(98.7136, -15.9881)
(99.5884, 9.0633)
(94.2057, 33.5452)
(82.9038, 55.9193)
(66.3926, 74.7798)
(45.7098, 88.9416)
(22.1548, 97.5149)
(-2.7922, 99.961)
(-27.5637, 96.1262)
(-50.6034, 86.2514)
(-70.4634, 70.9571)
(-85.896, 51.2043)
(-95.9314, 28.2341)
(-99.9391, 3.4899)
(-97.6672, -21.4735)
(-89.2586, -45.0878)
(-75.2415, -65.8689)
(-56.4967, -82.5113)
